scene update,player update,enemy update,particles update,particles draw,scene draw,player draw,enemies draw,frame draw
3.4518e-005,4.10929e-005,2.09574e-005,0.000126977,0.00540659,0.000329154,7.72546e-005,5.38317e-005,0.0150609
3.24634e-005,3.98601e-005,3.28743e-005,0.000122457,0.00510004,0.000267515,5.91737e-005,4.52022e-005,0.0152496
3.16415e-005,4.0271e-005,2.42448e-005,0.00012369,0.00506798,0.000333674,7.39672e-005,6.20502e-005,0.0148908
3.24634e-005,3.98601e-005,2.46557e-005,0.000119991,0.00476677,0.000251899,5.54754e-005,4.27366e-005,0.0152968
3.24634e-005,3.73945e-005,2.42448e-005,0.000139305,0.00530673,0.000297923,6.08175e-005,4.76677e-005,0.0153568
3.41071e-005,3.82164e-005,2.13683e-005,0.000139305,0.00518099,0.000288472,5.83519e-005,4.84896e-005,0.0143016
3.94492e-005,4.0271e-005,1.97246e-005,0.000120813,0.00505771,0.00028313,5.753e-005,4.68459e-005,0.0148222
3.20524e-005,3.78054e-005,2.09574e-005,0.000122457,0.00511113,0.000339427,6.53377e-005,5.21879e-005,0.014934
3.20524e-005,3.57508e-005,2.05464e-005,0.000112594,0.00504703,0.000283952,5.87628e-005,4.6024e-005,0.0144713
3.12306e-005,3.4518e-005,1.97246e-005,0.000179576,0.00561616,0.000367781,7.56109e-005,5.62972e-005,0.0143796
3.12306e-005,3.94492e-005,1.97246e-005,0.000139716,0.00566917,0.000279021,5.67082e-005,4.47912e-005,0.014438
3.53399e-005,4.23257e-005,2.26011e-005,0.000158208,0.00622639,0.000299978,9.45136e-005,5.01333e-005,0.0149249
4.43803e-005,0.000135196,2.62994e-005,0.00016355,0.00615448,0.00031436,6.16393e-005,5.30098e-005,0.0148958
3.32852e-005,3.94492e-005,2.67104e-005,0.000139305,0.00599093,0.000290527,5.87628e-005,4.84896e-005,0.0140838
3.24634e-005,3.90382e-005,2.26011e-005,0.000147934,0.00579944,0.0003008,5.87628e-005,5.67082e-005,0.0135409
2.99978e-005,3.69836e-005,1.93137e-005,0.000130264,0.00533303,0.00025642,5.1777e-005,4.15038e-005,0.0134144
2.83541e-005,3.61617e-005,1.80809e-005,0.000120813,0.00517154,0.000249845,5.05442e-005,3.98601e-005,0.0157225
3.53399e-005,6.3283e-005,2.67104e-005,0.000174234,0.00622352,0.000286417,5.83519e-005,4.80787e-005,0.0174168
3.16415e-005,3.53399e-005,2.01355e-005,0.000192726,0.00632132,0.000340249,6.65705e-005,5.1777e-005,0.0170946
3.24634e-005,4.80787e-005,2.13683e-005,0.000153276,0.00613393,0.000287239,5.753e-005,5.42426e-005,0.0183451
