scene update,player update,enemy update,particles update,particles draw,scene draw,player draw,enemies draw,frame draw
6.41048e-005,7.80763e-005,2.8765e-005,0.000151632,0.00681154,0.000561739,0.000130675,4.10928e-007,0.017208
5.34206e-005,7.10906e-005,2.54775e-005,0.000130675,0.00590709,0.000456952,0.000109718,8.21856e-007,0.0153621
5.21879e-005,6.69813e-005,2.62994e-005,0.000139716,0.00534987,0.000398189,9.6979e-005,4.10928e-007,0.0140895
4.31474e-005,5.91736e-005,2.13683e-005,0.000127388,0.00500839,0.000421201,9.20479e-005,4.10928e-007,0.0128686
4.39693e-005,5.67081e-005,1.97245e-005,9.53353e-005,0.00468129,0.000348056,8.34184e-005,4.10928e-007,0.0119855
3.78054e-005,5.30097e-005,1.89027e-005,9.739e-005,0.00429995,0.000322579,7.76654e-005,4.10928e-007,0.0113922
3.82163e-005,5.1366e-005,1.76699e-005,8.42403e-005,0.00409942,0.000310251,7.51998e-005,4.10928e-007,0.0108021
3.86272e-005,4.97223e-005,1.7259e-005,8.71168e-005,0.00393546,0.000297101,7.19124e-005,0,0.0101664
3.57507e-005,4.68458e-005,1.7259e-005,9.36916e-005,0.00378383,0.000300388,7.39671e-005,4.10928e-007,0.0138639
3.82163e-005,4.93114e-005,1.64371e-005,9.1637e-005,0.00372219,0.000329975,9.6979e-005,8.21856e-007,0.0117751
3.53398e-005,4.68458e-005,1.52043e-005,8.42403e-005,0.00420996,0.000444213,0.000107663,8.21856e-007,0.0130219
4.76677e-005,6.45157e-005,2.34229e-005,0.000110951,0.0045687,0.00040312,9.41025e-005,8.21856e-007,0.0144252
3.04087e-005,4.39693e-005,1.43825e-005,7.68435e-005,0.00320688,0.000392847,8.67058e-005,8.21856e-007,0.0102625
3.32852e-005,4.47912e-005,1.39716e-005,7.60217e-005,0.0033692,0.000295046,6.69813e-005,4.10928e-007,0.00956517
3.28742e-005,4.60239e-005,1.43825e-005,7.15015e-005,0.0032225,0.000292581,7.15015e-005,4.10928e-007,0.00977927
3.16415e-005,4.39693e-005,1.43825e-005,7.35561e-005,0.00308484,0.000304909,8.91714e-005,4.10928e-007,0.00941847
3.28742e-005,4.60239e-005,1.47934e-005,7.972e-005,0.00332194,0.000258885,6.16392e-005,4.10928e-007,0.010279
3.32852e-005,4.43802e-005,1.43825e-005,7.68435e-005,0.00319209,0.000252721,6.12283e-005,4.10928e-007,0.00949696
3.16415e-005,4.5613e-005,1.43825e-005,7.4378e-005,0.00320154,0.000254364,6.04064e-005,4.10928e-007,0.00908809
3.16415e-005,4.52021e-005,1.47934e-005,7.80763e-005,0.00336386,0.00027902,6.61594e-005,4.10928e-007,0.0101914
3.49289e-005,4.68458e-005,1.56153e-005,8.34184e-005,0.00358206,0.000276555,6.57485e-005,4.10928e-007,0.00977269
4.06819e-005,4.68458e-005,1.52043e-005,8.17747e-005,0.00348303,0.000304498,7.06796e-005,4.10928e-007,0.0100003
3.4518e-005,4.80786e-005,1.56153e-005,8.71168e-005,0.00333509,0.000318058,6.98578e-005,8.21856e-007,0.00914931
3.32852e-005,4.15037e-005,1.47934e-005,8.13638e-005,0.00332975,0.000328742,9.45135e-005,4.10928e-007,0.00932355
3.28742e-005,4.5613e-005,1.47934e-005,7.06796e-005,0.00319579,0.00028354,5.99955e-005,4.10928e-007,0.00901247
4.10928e-005,5.62971e-005,2.13683e-005,0.000115882,0.00313949,0.000249433,6.12283e-005,4.10928e-007,0.00874167
3.32852e-005,4.31474e-005,1.47934e-005,7.972e-005,0.00378711,0.000272856,7.19124e-005,8.21856e-007,0.010798
3.69835e-005,5.01332e-005,1.60262e-005,8.25965e-005,0.00456048,0.000431064,0.000113827,8.21856e-007,0.00969051
3.61617e-005,4.64349e-005,1.56153e-005,8.83495e-005,0.00343002,0.000273678,7.10906e-005,4.10928e-007,0.00941231
3.24633e-005,4.89004e-005,1.56153e-005,7.31452e-005,0.00360589,0.000271213,6.49266e-005,4.10928e-007,0.0091941
3.20524e-005,4.76677e-005,1.52043e-005,7.93091e-005,0.00340495,0.000264227,6.2872e-005,4.10928e-007,0.00874044
3.28742e-005,4.76677e-005,1.43825e-005,7.56108e-005,0.00309634,0.000250255,5.91736e-005,0,0.00894262
4.31474e-005,5.75299e-005,2.01355e-005,0.000115471,0.00430077,0.000348467,8.30075e-005,4.10928e-007,0.0145399
4.27365e-005,5.62971e-005,1.93136e-005,0.000100266,0.00418448,0.000336139,8.0131e-005,4.10928e-007,0.0144273
4.43802e-005,5.62971e-005,1.97245e-005,0.000119169,0.00430365,0.000347234,8.34184e-005,4.10928e-007,0.0142547
4.06819e-005,5.54753e-005,1.84918e-005,0.000101088,0.00408668,0.000323811,7.93091e-005,4.10928e-007,0.013746
